1	0.48439
2	0.31793
3	0.16907
4	0.17184
5	0.12253
6	0.10952
7	0.08415
8	0.08298
9	0.07090
10	0.05798
11	0.15100
12	0.17021
13	0.24264
14	0.30102
15	0.31569
16	0.32160
17	0.31615
18	0.29109
19	0.26521
20	0.24487
21	0.03995
22	0.03553
23	0.03801
24	0.03907
25	0.04198
26	0.04574
27	0.04915
28	0.05794
29	0.05985
30	0.05769
31	0.03249
32	0.02202
33	0.02761
34	0.02295
35	0.01777
36	0.01832
37	0.01769
38	0.01602
39	0.02783
40	0.01713
41	0.02659
42	0.01998
43	0.01559
44	0.00987
45	0.01254
46	0.01898
47	0.02268
48	0.02359
49	0.02386
50	0.02468

