1						0.33938
2						0.20567
3						0.21355
4						0.27494
5						0.29111
6						0.332
7						0.33938
8						0.3501
9						0.35015
10						0.34508
11						0.34236
12						0.34315
13						0.34666
14						0.30699
15						0.31497
16						0.32565
17						0.32481
18						0.33103
19						0.34086
20						0.3383
21						0.33815
22						0.34682
23						0.34473
24						0.32968
25						0.33261
26						0.20483
27						0.13649
28						0.05788
29						0.0618
30						0.05992
31						0.06786
32						0.05529
33						0.06318
34						0.0511
35						0.03524
36						0.02498
37						0.02138
38						0.01637

